"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年6月12日","342.77","344.70","354.97","338.00","22.35M","3.21%"
"2018年6月11日","332.10","322.51","334.66","322.50","13.18M","4.55%"
"2018年6月8日","317.66","319.00","324.48","317.15","8.21M","0.50%"
"2018年6月7日","316.09","316.15","330.00","313.58","14.35M","-1.07%"
"2018年6月6日","319.50","300.50","322.17","297.48","18.77M","9.74%"
"2018年6月5日","291.13","297.70","297.80","286.74","6.00M","-1.89%"
"2018年6月4日","296.74","294.34","299.00","293.55","4.80M","1.69%"
"2018年6月1日","291.82","285.86","291.95","283.84","5.42M","2.49%"
"2018年5月31日","284.73","287.21","290.37","282.93","5.92M","-2.40%"
"2018年5月30日","291.72","283.29","295.00","281.60","7.49M","2.81%"
"2018年5月29日","283.76","278.51","286.50","276.15","5.67M","1.76%"
"2018年5月25日","278.85","277.63","279.64","275.61","3.88M","0.36%"
"2018年5月24日","277.85","278.40","281.11","274.89","4.18M","-0.44%"
"2018年5月23日","279.07","277.76","279.91","274.00","5.99M","1.48%"
"2018年5月22日","275.01","287.76","288.00","273.42","8.95M","-3.33%"
"2018年5月21日","284.49","281.33","291.49","281.30","9.18M","2.77%"
"2018年5月18日","276.82","284.65","284.65","274.00","7.25M","-2.71%"
"2018年5月17日","284.54","285.90","289.19","283.97","4.42M","-0.68%"
"2018年5月16日","286.48","283.83","288.81","281.56","5.67M","0.81%"
"2018年5月15日","284.18","285.01","286.96","280.50","9.52M","-2.67%"
"2018年5月14日","291.97","303.32","304.94","291.62","7.29M","-3.02%"
"2018年5月11日","301.06","307.70","308.88","299.08","4.68M","-1.30%"
"2018年5月10日","305.02","307.50","312.99","304.11","5.65M","-0.60%"
"2018年5月9日","306.85","300.41","307.01","300.05","5.73M","1.62%"
"2018年5月8日","301.97","300.80","307.75","299.00","5.93M","-0.26%"
"2018年5月7日","302.77","297.50","305.96","295.17","8.68M","2.95%"
"2018年5月4日","294.09","283.00","296.86","279.52","8.57M","3.39%"
"2018年5月3日","284.45","278.79","288.04","275.23","17.35M","-5.55%"
"2018年5月2日","301.15","298.57","306.85","297.78","8.97M","0.41%"
"2018年5月1日","299.92","293.51","300.82","293.22","4.63M","2.05%"
"2018年4月30日","293.90","293.61","298.73","292.50","4.23M","-0.06%"
"2018年4月27日","294.07","285.37","294.47","283.83","4.36M","3.01%"
"2018年4月26日","285.48","278.75","285.79","276.50","4.36M","1.71%"
"2018年4月25日","280.69","283.50","285.16","277.25","4.01M","-0.98%"
"2018年4月24日","283.46","285.00","287.09","278.46","5.69M","0.03%"
"2018年4月23日","283.37","291.29","291.62","282.33","4.89M","-2.37%"
"2018年4月20日","290.24","295.17","299.98","289.75","5.63M","-3.28%"
"2018年4月19日","300.08","291.08","301.01","288.55","6.09M","2.29%"
"2018年4月18日","293.35","291.08","300.24","288.16","6.56M","1.97%"
"2018年4月17日","287.69","288.87","292.17","282.51","7.00M","-1.21%"
"2018年4月16日","291.21","299.00","299.66","289.01","6.34M","-3.04%"
"2018年4月13日","300.34","303.60","303.95","295.98","7.33M","2.13%"
"2018年4月12日","294.08","302.32","303.95","293.68","7.61M","-2.28%"
"2018年4月11日","300.93","300.74","308.98","299.66","7.48M","-1.24%"
"2018年4月10日","304.70","298.97","307.10","293.68","11.02M","5.19%"
"2018年4月9日","289.66","300.37","309.50","289.21","10.25M","-3.22%"
"2018年4月6日","299.30","301.00","309.28","295.50","13.52M","-2.10%"
"2018年4月5日","305.72","289.34","306.26","288.20","19.12M","6.54%"
"2018年4月4日","286.94","252.78","288.37","252.00","19.90M","7.26%"
"2018年4月3日","267.53","269.82","273.35","254.49","18.84M","5.96%"
"2018年4月2日","252.48","256.26","260.33","244.59","16.11M","-5.13%"
"2018年3月29日","266.13","256.49","270.96","248.21","15.17M","3.24%"
"2018年3月28日","257.78","264.58","268.68","252.10","21.00M","-7.67%"
"2018年3月27日","279.18","304.00","304.27","277.18","13.87M","-8.22%"
"2018年3月26日","304.18","307.34","307.59","291.36","8.38M","0.88%"
"2018年3月23日","301.54","311.25","311.61","300.45","6.65M","-2.45%"
"2018年3月22日","309.10","313.89","318.82","308.18","4.94M","-2.35%"
"2018年3月21日","316.53","310.25","322.44","310.19","5.96M","1.93%"
"2018年3月20日","310.55","314.87","316.25","308.76","4.76M","-0.96%"
"2018年3月19日","313.56","316.50","320.75","309.67","7.48M","-2.42%"
"2018年3月16日","321.35","325.96","327.40","319.07","6.12M","-1.31%"
"2018年3月15日","325.60","329.38","332.85","321.10","6.56M","-0.32%"
"2018年3月14日","326.63","336.76","339.81","323.93","7.97M","-4.45%"
"2018年3月13日","341.84","344.92","345.12","336.26","5.97M","-1.06%"
"2018年3月12日","345.51","328.61","347.21","326.50","8.26M","5.61%"
"2018年3月9日","327.17","324.10","328.49","322.37","5.51M","-0.59%"
"2018年3月8日","329.10","332.86","333.30","326.27","3.57M","-0.96%"
"2018年3月7日","332.30","325.44","332.50","321.74","5.01M","1.25%"
"2018年3月6日","328.20","333.75","336.37","327.03","4.29M","-1.54%"
"2018年3月5日","333.35","332.39","337.75","329.29","3.82M","-0.53%"
"2018年3月2日","335.12","326.98","335.22","322.97","5.09M","1.27%"
"2018年3月1日","330.93","345.01","348.67","330.07","6.89M","-3.54%"
"2018年2月28日","343.06","352.57","355.24","342.22","6.07M","-2.26%"
"2018年2月27日","350.99","356.25","359.99","350.01","4.80M","-1.80%"
"2018年2月26日","357.42","353.50","359.00","352.36","4.34M","1.53%"
"2018年2月23日","352.05","347.83","354.99","347.10","5.82M","1.70%"
"2018年2月22日","346.17","335.53","347.44","334.75","6.97M","3.86%"
"2018年2月21日","333.30","336.03","339.69","333.17","3.22M","-0.44%"
"2018年2月20日","334.77","334.47","340.84","331.50","4.01M","-0.21%"
"2018年2月16日","335.49","332.50","343.12","331.64","5.64M","0.43%"
"2018年2月15日","334.06","324.50","334.12","322.40","5.91M","3.65%"
"2018年2月14日","322.31","320.84","326.17","318.52","3.95M","-0.42%"
"2018年2月13日","323.66","315.02","324.19","312.51","4.56M","2.51%"
"2018年2月12日","315.73","316.13","318.08","306.25","6.23M","1.71%"
"2018年2月9日","310.42","319.93","320.98","294.76","12.93M","-1.53%"
"2018年2月8日","315.23","343.31","348.62","314.60","10.31M","-8.63%"
"2018年2月7日","345.00","338.99","346.00","335.66","6.97M","3.30%"
"2018年2月6日","333.97","325.21","336.22","323.50","5.09M","0.25%"
"2018年2月5日","333.13","337.97","344.47","333.00","4.46M","-3.09%"
"2018年2月2日","343.75","348.44","351.95","340.51","3.70M","-1.57%"
"2018年2月1日","349.25","351.00","359.66","348.63","4.20M","-1.43%"
"2018年1月31日","354.31","347.51","356.19","345.19","6.21M","2.46%"
"2018年1月30日","345.82","345.14","348.27","342.17","4.72M","-1.06%"
"2018年1月29日","349.53","339.85","350.85","338.28","4.75M","1.95%"
"2018年1月26日","342.85","341.50","344.00","335.71","4.54M","1.54%"
"2018年1月25日","337.64","348.27","349.20","336.40","6.74M","-2.39%"
"2018年1月24日","345.89","354.58","354.75","343.52","5.29M","-1.96%"
"2018年1月23日","352.79","360.00","360.50","351.00","5.47M","0.35%"
"2018年1月22日","351.56","349.40","357.83","349.20","6.21M","0.44%"
"2018年1月19日","350.02","345.00","350.59","342.60","4.89M","1.58%"
"2018年1月18日","344.57","345.67","352.30","343.74","5.69M","-0.75%"
"2018年1月17日","347.16","340.47","349.00","339.75","7.10M","2.09%"
"2018年1月16日","340.06","337.54","345.00","334.80","6.47M","1.14%"
"2018年1月12日","336.22","338.63","340.41","333.67","4.83M","-0.51%"
"2018年1月11日","337.95","335.24","344.81","333.26","6.65M","0.94%"
"2018年1月10日","334.80","332.20","337.00","330.00","4.31M","0.33%"
"2018年1月9日","333.69","335.16","338.80","327.40","7.15M","-0.81%"
"2018年1月8日","336.41","316.00","337.02","315.50","9.86M","6.26%"
"2018年1月5日","316.58","316.62","317.24","312.00","4.59M","0.62%"
"2018年1月4日","314.62","312.87","318.55","305.68","9.95M","-0.83%"
"2018年1月3日","317.25","321.00","325.25","315.55","4.52M","-1.02%"
"2018年1月2日","320.53","312.00","322.11","311.00","4.35M","2.95%"
"2017年12月29日","311.35","316.18","316.41","310.00","3.78M","-1.27%"
"2017年12月28日","315.36","311.75","315.82","309.54","4.32M","1.19%"
"2017年12月27日","311.64","316.00","317.68","310.75","4.71M","-1.78%"
"2017年12月26日","317.29","323.83","323.94","316.58","4.38M","-2.43%"
"2017年12月22日","325.20","329.51","330.92","324.82","4.22M","-1.95%"
"2017年12月21日","331.66","329.59","333.74","327.21","4.39M","0.81%"
"2017年12月20日","328.98","332.69","333.10","325.04","5.95M","-0.64%"
"2017年12月19日","331.10","340.26","341.49","330.30","6.82M","-2.29%"
"2017年12月18日","338.87","344.90","346.73","337.58","5.48M","-1.33%"
"2017年12月15日","343.45","342.04","343.90","335.76","6.93M","1.65%"
"2017年12月14日","337.89","341.01","347.44","336.90","5.80M","-0.34%"
"2017年12月13日","339.03","340.93","344.22","336.50","6.22M","-0.59%"
"2017年12月12日","341.03","330.45","341.44","330.03","8.73M","3.68%"
"2017年12月11日","328.91","314.63","329.01","313.75","7.94M","4.37%"
"2017年12月8日","315.13","314.60","316.98","311.26","3.47M","1.25%"
"2017年12月7日","311.24","312.00","318.63","311.05","4.78M","-0.64%"
"2017年12月6日","313.26","300.10","313.39","300.00","7.20M","3.15%"
"2017年12月5日","303.70","302.00","308.00","301.00","4.65M","-0.49%"
"2017年12月4日","305.20","306.50","308.26","300.61","5.84M","-0.43%"
"2017年12月1日","306.53","305.44","310.32","305.05","4.29M","-0.75%"
"2017年11月30日","308.85","308.56","310.70","304.54","4.35M","0.43%"
"2017年11月29日","307.54","317.30","318.00","301.23","8.77M","-3.15%"
"2017年11月28日","317.55","316.36","320.00","313.92","4.95M","0.23%"
"2017年11月27日","316.81","313.25","317.34","309.51","4.56M","0.40%"
"2017年11月24日","315.55","313.79","316.41","311.00","3.24M","0.94%"
"2017年11月22日","312.60","316.77","317.42","311.84","4.92M","-1.64%"
"2017年11月21日","317.81","310.86","318.23","308.71","7.26M","2.94%"
"2017年11月20日","308.74","313.79","315.50","304.75","8.25M","-2.00%"
"2017年11月17日","315.05","325.67","326.67","313.15","13.74M","0.82%"
"2017年11月16日","312.50","313.99","318.14","311.30","5.82M","0.39%"
"2017年11月15日","311.30","306.01","312.49","301.50","5.98M","0.84%"
"2017年11月14日","308.70","315.00","316.35","306.90","5.68M","-2.12%"
"2017年11月13日","315.40","300.13","316.80","299.11","7.58M","4.10%"
"2017年11月10日","302.99","302.50","308.36","301.85","4.63M","0.00%"
"2017年11月9日","302.99","302.50","304.46","296.30","5.45M","-0.46%"
"2017年11月8日","304.39","305.50","306.89","301.30","4.73M","-0.54%"
"2017年11月7日","306.05","301.02","306.50","300.03","5.29M","1.08%"
"2017年11月6日","302.78","307.00","307.50","299.01","6.49M","-1.08%"
"2017年11月3日","306.09","299.50","306.25","295.13","8.89M","2.28%"
"2017年11月2日","299.26","300.13","308.69","292.63","19.79M","-6.80%"
"2017年11月1日","321.08","332.25","332.61","320.26","8.46M","-3.15%"
"2017年10月31日","331.53","320.23","331.95","320.18","5.67M","3.58%"
"2017年10月30日","320.08","319.18","323.78","317.25","4.25M","-0.25%"
"2017年10月27日","320.87","319.75","324.59","316.66","6.98M","-1.62%"
"2017年10月26日","326.17","327.78","330.23","323.20","5.02M","0.10%"
"2017年10月25日","325.84","336.70","337.50","323.56","8.59M","-3.41%"
"2017年10月24日","337.34","338.80","342.80","336.16","4.49M","0.09%"
"2017年10月23日","337.02","349.88","349.95","336.25","5.75M","-2.34%"
"2017年10月20日","345.10","352.69","354.55","344.34","4.93M","-1.91%"
"2017年10月19日","351.81","355.56","357.15","348.20","5.06M","-2.18%"
"2017年10月18日","359.65","355.97","363.00","354.13","4.94M","1.10%"
"2017年10月17日","355.75","350.91","356.22","350.07","3.29M","1.47%"
"2017年10月16日","350.60","353.76","354.48","347.16","5.38M","-1.40%"
"2017年10月13日","355.57","356.98","358.49","353.68","3.54M","-0.03%"
"2017年10月12日","355.68","352.95","359.78","352.64","4.09M","0.30%"
"2017年10月11日","354.60","353.89","357.60","351.15","4.50M","-0.28%"
"2017年10月10日","355.59","346.80","355.63","345.53","6.98M","3.69%"
"2017年10月9日","342.94","349.65","351.75","342.67","7.49M","-3.91%"
"2017年10月6日","356.88","353.10","360.10","352.25","4.30M","0.44%"
"2017年10月5日","355.33","356.00","357.44","351.35","4.17M","0.09%"
"2017年10月4日","355.01","351.25","358.62","349.60","8.16M","1.97%"
"2017年10月3日","348.14","335.90","348.55","331.28","10.15M","1.94%"
"2017年10月2日","341.53","342.52","343.70","335.51","5.29M","0.13%"
"2017年9月29日","341.10","341.86","344.68","338.60","5.11M","0.44%"
"2017年9月28日","339.60","339.88","342.75","335.40","5.32M","-0.40%"
"2017年9月27日","340.97","349.90","351.49","340.50","6.06M","-1.24%"
"2017年9月26日","345.25","350.93","351.24","340.90","7.16M","0.08%"
"2017年9月25日","344.99","353.15","357.47","342.88","7.61M","-1.74%"
"2017年9月22日","351.09","366.49","369.90","350.88","8.16M","-4.20%"
"2017年9月21日","366.48","374.90","376.83","364.51","4.62M","-1.99%"
"2017年9月20日","373.91","373.00","378.25","371.07","4.92M","-0.32%"
"2017年9月19日","375.10","380.00","382.39","373.57","6.45M","-2.57%"
"2017年9月18日","385.00","380.25","389.61","377.68","7.19M","1.37%"
"2017年9月15日","379.81","374.51","380.00","372.70","5.42M","0.57%"
"2017年9月14日","377.64","364.33","377.96","362.63","7.20M","3.12%"
"2017年9月13日","366.23","363.82","368.07","359.59","4.19M","0.96%"
"2017年9月12日","362.75","364.49","368.76","360.40","5.97M","-0.26%"
"2017年9月11日","363.69","351.35","363.71","350.00","7.67M","5.91%"
"2017年9月8日","343.40","348.99","349.78","342.30","3.26M","-2.06%"
"2017年9月7日","350.61","345.98","352.48","343.45","4.24M","1.76%"
"2017年9月6日","344.53","349.50","350.98","341.56","4.09M","-1.45%"
"2017年9月5日","349.59","353.80","355.49","345.89","3.85M","-1.63%"
"2017年9月1日","355.40","356.12","357.59","353.69","3.05M","-0.14%"
"2017年8月31日","355.90","353.55","358.44","352.82","4.07M","0.77%"
"2017年8月30日","353.18","349.67","353.47","347.00","3.41M","1.68%"
"2017年8月29日","347.36","339.48","349.05","338.75","4.07M","0.49%"
"2017年8月28日","345.66","347.28","347.35","339.72","3.76M","-0.69%"
"2017年8月25日","348.05","354.24","355.69","347.30","3.48M","-1.38%"
"2017年8月24日","352.93","352.52","356.66","349.74","4.58M","0.05%"
"2017年8月23日","352.77","338.99","353.49","338.30","4.95M","3.35%"
"2017年8月22日","341.35","341.13","342.24","337.37","4.32M","1.03%"
"2017年8月21日","337.86","345.82","345.82","331.85","6.50M","-2.76%"
"2017年8月18日","347.46","352.91","354.00","345.80","5.41M","-1.27%"
"2017年8月17日","351.92","361.21","363.30","351.59","5.03M","-3.03%"
"2017年8月16日","362.91","363.00","366.50","362.52","3.41M","0.16%"
"2017年8月15日","362.33","365.20","365.49","359.37","3.09M","-0.40%"
"2017年8月14日","363.80","364.63","367.66","362.60","4.52M","1.66%"
"2017年8月11日","357.87","356.97","361.26","353.62","4.37M","0.69%"
"2017年8月10日","355.40","361.60","366.65","354.66","7.09M","-2.24%"
"2017年8月9日","363.53","361.00","370.00","358.95","6.89M","-0.46%"
"2017年8月8日","365.22","357.53","368.58","357.40","7.45M","2.83%"
"2017年8月7日","355.17","357.35","359.48","352.75","6.32M","-0.49%"
"2017年8月4日","356.91","347.00","357.27","343.30","9.27M","2.83%"
"2017年8月3日","347.09","345.33","350.00","343.15","13.54M","6.51%"
"2017年8月2日","325.89","318.94","327.12","311.22","13.09M","1.98%"
"2017年8月1日","319.57","323.00","324.45","316.13","8.30M","-1.21%"
"2017年7月31日","323.47","335.50","341.49","321.04","8.54M","-3.46%"
"2017年7月28日","335.07","336.89","339.60","332.51","4.88M","0.18%"
"2017年7月27日","334.46","346.00","347.50","326.29","8.30M","-2.73%"
"2017年7月26日","343.85","340.36","345.50","338.12","4.82M","1.25%"
"2017年7月25日","339.60","345.00","345.60","334.15","6.99M","-0.85%"
"2017年7月24日","342.52","330.24","343.40","330.01","8.64M","4.30%"
"2017年7月21日","328.40","329.46","331.26","325.80","4.90M","-0.46%"
"2017年7月20日","329.92","326.90","330.22","324.20","5.17M","1.43%"
"2017年7月19日","325.26","328.23","331.65","323.22","6.36M","-0.91%"
"2017年7月18日","328.24","317.50","329.13","315.66","6.37M","2.71%"
"2017年7月17日","319.57","325.54","327.10","313.45","9.88M","-2.50%"
"2017年7月14日","327.78","323.19","328.42","321.22","5.63M","1.35%"
"2017年7月13日","323.41","330.11","331.60","319.97","8.59M","-1.85%"
"2017年7月12日","329.52","330.40","333.10","324.50","10.35M","0.70%"
